frequency,s11
2.2,-16.807062526601854
2.204,-18.33171382125334
2.208,-17.966655206505166
2.212,-19.68085324059435
2.216,-18.901638987482666
2.22,-22.538875450203605
2.224,-21.59657655667835
2.228,-22.537341476251747
2.232,-22.628251730473085
2.236,-24.37518159106514
2.24,-25.535285216110776
2.244,-26.14164155104188
2.248,-26.92402545005825
2.2520000000000002,-27.465130531879204
2.2560000000000002,-29.21882424116346
2.2600000000000002,-28.66537665992474
2.2640000000000002,-29.73514393113021
2.2680000000000002,-30.846599902213367
2.2720000000000002,-30.51336177862652
2.2760000000000002,-32.21786735292845
2.2800000000000002,-31.57836077575148
2.2840000000000003,-32.434872989101294
2.2880000000000003,-32.70882709689108
2.2920000000000003,-33.473790595259445
2.2960000000000003,-33.8517385849222
2.3000000000000003,-33.82296450563734
2.3040000000000003,-33.7484546426621
2.3080000000000003,-33.81041903557588
2.3120000000000003,-33.87961271334216
2.3160000000000003,-33.08712261990958
2.3200000000000003,-34.665813512075125
2.3240000000000003,-35.0
2.3280000000000003,-34.158689504387745
2.3320000000000003,-34.73739381200115
2.3360000000000003,-34.176204656642994
2.3400000000000003,-34.9995777304043
2.3440000000000003,-34.78145931278993
2.3480000000000003,-34.49506683031365
2.3520000000000003,-34.39402455687034
2.3560000000000003,-34.80615406754948
2.3600000000000003,-35.0
2.3640000000000003,-35.0
2.3680000000000003,-34.74684829392868
2.3720000000000003,-35.0
2.3760000000000003,-35.0
2.3800000000000003,-35.0
2.3840000000000003,-35.0
2.3880000000000003,-35.0
2.3920000000000003,-35.0
2.396,-35.0
2.4000000000000004,-35.0
2.404,-35.0
2.4080000000000004,-35.0
2.412,-35.0
2.4160000000000004,-35.0
2.42,-35.0
2.424,-35.0
2.428,-35.0
2.432,-35.0
2.436,-35.0
2.44,-35.0
2.444,-35.0
2.448,-35.0
2.452,-35.0
2.456,-35.0
2.46,-35.0
2.464,-35.0
2.468,-35.0
2.472,-35.0
2.476,-35.0
2.48,-35.0
2.484,-35.0
2.488,-35.0
2.492,-35.0
2.496,-34.75360331603706
2.5,-34.847624176580524
2.504,-34.433850033974835
2.508,-34.64906124058814
2.512,-34.014072031999035
2.516,-32.997648250664135
2.52,-33.67599238021445
2.524,-33.70093647722375
2.528,-33.78967141203841
2.532,-31.624987891940425
2.536,-32.0482651594672
2.54,-32.63902176601075
2.544,-31.6306779550457
2.548,-30.935050154248742
2.552,-31.24242952209115
2.556,-30.90518663119097
2.56,-29.934816092073053
2.564,-29.553502797660688
2.568,-29.43630876362589
2.572,-28.61511549186277
2.576,-28.16420678041316
2.58,-27.859972433145238
2.584,-27.407385585469118
2.588,-26.553419347351547
2.592,-26.12830461232091
2.596,-25.944691128647793
2.6,-24.432891298004048
