frequency,s11
2.2,-7.530044724648697
2.204,-7.336343200427576
2.208,-6.785203101371131
2.212,-6.667726213520551
2.216,-7.278935819952421
2.22,-6.681065479101415
2.224,-6.253467609811276
2.228,-7.745712602412873
2.232,-6.775156699824818
2.236,-7.2172918669169555
2.24,-7.659896569097763
2.244,-7.019678928799368
2.248,-7.228594842601339
2.2520000000000002,-8.289958348319775
2.2560000000000002,-8.06103390899292
2.2600000000000002,-7.926141365682099
2.2640000000000002,-9.244960989984303
2.2680000000000002,-7.984445231461095
2.2720000000000002,-9.042031322606633
2.2760000000000002,-9.033417151004375
2.2800000000000002,-9.478095902677618
2.2840000000000003,-10.773612833923794
2.2880000000000003,-10.59608614979931
2.2920000000000003,-11.121273463722979
2.2960000000000003,-11.754940989184588
2.3000000000000003,-12.978084236284044
2.3040000000000003,-14.283668783402891
2.3080000000000003,-14.454932375994693
2.3120000000000003,-14.894155522057275
2.3160000000000003,-15.489213599563884
2.3200000000000003,-17.222063113229666
2.3240000000000003,-18.019599599666225
2.3280000000000003,-18.31354168448064
2.3320000000000003,-18.841559758229995
2.3360000000000003,-18.946094752146813
2.3400000000000003,-19.310781287422433
2.3440000000000003,-20.171980449258477
2.3480000000000003,-19.872771022808084
2.3520000000000003,-20.832263199999293
2.3560000000000003,-20.83463901176097
2.3600000000000003,-22.222406536257676
2.3640000000000003,-22.140207542276652
2.3680000000000003,-23.130675893884252
2.3720000000000003,-23.767307436821984
2.3760000000000003,-24.517356392403386
2.3800000000000003,-24.088411001655707
2.3840000000000003,-24.211415675594765
2.3880000000000003,-24.30209066891528
2.3920000000000003,-24.27708585917454
2.396,-25.408529607078847
2.4000000000000004,-24.6598938604798
2.404,-25.146340288761678
2.4080000000000004,-23.67064890178648
2.412,-24.009950034715065
2.4160000000000004,-24.074441854199968
2.42,-23.822027476207445
2.424,-23.03025880996528
2.428,-22.26426776432471
2.432,-20.954774277622473
2.436,-20.6520706385524
2.44,-19.60619540453118
2.444,-19.770551500786695
2.448,-18.47320177449936
2.452,-17.464826572147
2.456,-16.697845246790312
2.46,-17.027489692339568
2.464,-15.10095895795794
2.468,-14.498404800940508
2.472,-14.226720503754006
2.476,-13.41673081483973
2.48,-12.893665212611504
2.484,-13.01922859344093
2.488,-11.853061659971328
2.492,-11.187972991684004
2.496,-12.227445967170834
2.5,-11.372963175259196
2.504,-11.412906894221603
2.508,-11.763908379354746
2.512,-11.711660317381401
2.516,-11.559248046808282
2.52,-11.135212225544736
2.524,-11.751271528740208
2.528,-12.26856815026706
2.532,-12.545267227431522
2.536,-12.37618134654902
2.54,-12.619746832201956
2.544,-12.74429041997363
2.548,-11.568525018108366
2.552,-11.627191395120654
2.556,-10.990773654718776
2.56,-10.008211024166274
2.564,-9.808235547684221
2.568,-9.770529059750704
2.572,-9.188523023779714
2.576,-9.71254263987014
2.58,-8.772576313029516
2.584,-7.9064763266663896
2.588,-7.007876922504497
2.592,-8.329594081099726
2.596,-8.185421564317695
2.6,-9.415195935355404
