frequency,s11
2.2,-10.499912709183539
2.204,-11.71225462519695
2.208,-11.44930786460208
2.212,-12.73972457740218
2.216,-13.477191713588558
2.22,-14.055044978092777
2.224,-15.740810650132179
2.228,-16.23398084953485
2.232,-16.40527177739741
2.236,-15.359127125205577
2.24,-16.037000049272983
2.244,-17.477064743713356
2.248,-16.94873205900747
2.2520000000000002,-15.638837032690674
2.2560000000000002,-16.441135139094094
2.2600000000000002,-17.45139190704775
2.2640000000000002,-18.074574983779996
2.2680000000000002,-18.6469774910831
2.2720000000000002,-18.144950836353743
2.2760000000000002,-18.146906392302537
2.2800000000000002,-18.255556945807417
2.2840000000000003,-19.61281176030859
2.2880000000000003,-19.31133530802266
2.2920000000000003,-20.318223176544922
2.2960000000000003,-21.442079473081574
2.3000000000000003,-21.2976322164662
2.3040000000000003,-22.439545893918496
2.3080000000000003,-24.06303522214134
2.3120000000000003,-24.139089414252254
2.3160000000000003,-24.523379822694906
2.3200000000000003,-25.88450444147833
2.3240000000000003,-26.09862989409973
2.3280000000000003,-27.178528503180306
2.3320000000000003,-27.099464984229822
2.3360000000000003,-26.70582086200296
2.3400000000000003,-26.724986611320485
2.3440000000000003,-28.205566929956394
2.3480000000000003,-26.438788577811735
2.3520000000000003,-27.120625795193764
2.3560000000000003,-25.929749447824655
2.3600000000000003,-26.744927393306867
2.3640000000000003,-27.320438491651373
2.3680000000000003,-26.92526031709368
2.3720000000000003,-27.360498861289415
2.3760000000000003,-26.66494076050008
2.3800000000000003,-26.7835957509318
2.3840000000000003,-27.117497205359843
2.3880000000000003,-26.016770293805923
2.3920000000000003,-27.34068064975529
2.396,-27.188041827281364
2.4000000000000004,-27.046259479341984
2.404,-28.33182843227706
2.4080000000000004,-28.898983313204873
2.412,-28.394264659265115
2.4160000000000004,-28.815426353716195
2.42,-29.0926613338082
2.424,-29.629775001631316
2.428,-29.33978137798109
2.432,-29.170104939919838
2.436,-30.36938265302684
2.44,-30.490126635509295
2.444,-29.6991675122364
2.448,-29.790255547613004
2.452,-29.55028753248717
2.456,-29.53118654532075
2.46,-29.508899282362915
2.464,-29.78853781922347
2.468,-29.41424558970506
2.472,-28.73876628955197
2.476,-29.827278929443985
2.48,-28.433051568308382
2.484,-28.3388302925484
2.488,-28.528304981651132
2.492,-27.154902720441005
2.496,-28.093457256198285
2.5,-26.83071769442174
2.504,-26.0106372944423
2.508,-25.599933691504692
2.512,-25.755306170982443
2.516,-24.834548986152107
2.52,-24.121279426221058
2.524,-23.422593763868665
2.528,-22.10573058105332
2.532,-21.688393881242536
2.536,-21.412843851695225
2.54,-20.872490271737693
2.544,-20.337333960057546
2.548,-20.06927312291907
2.552,-18.275597621105376
2.556,-18.516308574655024
2.56,-17.870487496038788
2.564,-18.06354431626479
2.568,-17.086282468553666
2.572,-15.988303953983609
2.576,-15.537543216893884
2.58,-15.067978516305796
2.584,-14.26256082256035
2.588,-14.801478709867093
2.592,-14.160566412756049
2.596,-14.148165617421753
2.6,-13.43594621930303
