frequency,s11
2.2,-8.638262556155297
2.204,-9.21405669212126
2.208,-9.604106200266456
2.212,-9.367469957800694
2.216,-9.842123720547686
2.22,-8.266131791566139
2.224,-8.294970664893887
2.228,-9.383733350348201
2.232,-8.440893584850674
2.236,-7.962769547551035
2.24,-8.42261050752074
2.244,-7.422909399622915
2.248,-6.705182864493903
2.2520000000000002,-7.49804948330043
2.2560000000000002,-6.959884251535815
2.2600000000000002,-8.449735449128493
2.2640000000000002,-8.411142444647915
2.2680000000000002,-7.882141225558557
2.2720000000000002,-7.148659074838686
2.2760000000000002,-7.286930122741637
2.2800000000000002,-8.780154566153474
2.2840000000000003,-9.181433580416
2.2880000000000003,-9.10246988747329
2.2920000000000003,-9.629169929158158
2.2960000000000003,-10.72278594483529
2.3000000000000003,-10.601055047095548
2.3040000000000003,-11.597487281683273
2.3080000000000003,-11.889672353862826
2.3120000000000003,-12.510003125260775
2.3160000000000003,-12.975682268707939
2.3200000000000003,-14.518401788179858
2.3240000000000003,-14.251882587809352
2.3280000000000003,-16.329483281325437
2.3320000000000003,-17.13920103782785
2.3360000000000003,-17.948180298878846
2.3400000000000003,-18.580953182076946
2.3440000000000003,-19.968678762676227
2.3480000000000003,-20.522636614380353
2.3520000000000003,-22.047205394228644
2.3560000000000003,-22.344195476357825
2.3600000000000003,-23.581366168041953
2.3640000000000003,-24.527896898624196
2.3680000000000003,-24.50973414219186
2.3720000000000003,-25.01897333192052
2.3760000000000003,-26.62761774288767
2.3800000000000003,-25.90117818448286
2.3840000000000003,-27.085149622294335
2.3880000000000003,-26.853106590728043
2.3920000000000003,-27.35716274736961
2.396,-28.786632425395858
2.4000000000000004,-27.796908290630064
2.404,-29.927690856142533
2.4080000000000004,-29.57338871932777
2.412,-30.110853958138808
2.4160000000000004,-29.177891780141945
2.42,-30.212333678551378
2.424,-30.110145095304315
2.428,-30.028494349915015
2.432,-30.62592321967062
2.436,-30.423604783551703
2.44,-31.602575897936447
2.444,-30.299258580358522
2.448,-29.059808241926728
2.452,-30.176806123992023
2.456,-27.898903153927186
2.46,-28.074864430768844
2.464,-28.36063368232328
2.468,-27.09838917644726
2.472,-26.86731686264982
2.476,-25.573455788992117
2.48,-23.985510764547342
2.484,-24.324981943156388
2.488,-23.432443693462563
2.492,-22.11893817004738
2.496,-21.32429281546219
2.5,-20.833783293734975
2.504,-19.636108633310357
2.508,-18.66339653933472
2.512,-17.416681529860114
2.516,-16.545051261058166
2.52,-16.441949693026686
2.524,-15.020617601580597
2.528,-14.112565856425153
2.532,-13.05638572666094
2.536,-12.107807473771276
2.54,-11.827602048386169
2.544,-12.135019793358564
2.548,-10.874800881168175
2.552,-10.591137271542808
2.556,-10.407692918172176
2.56,-8.538145056836287
2.564,-8.769675837019395
2.568,-8.820342663843887
2.572,-7.974062326318693
2.576,-8.312977980279392
2.58,-7.6881397825033835
2.584,-6.940588520621656
2.588,-7.11537013415906
2.592,-6.650287560842844
2.596,-6.651882998900599
2.6,-7.12019892522236
