frequency,s11
2.2,-18.880492309154455
2.204,-18.60945859156067
2.208,-19.906222073742967
2.212,-19.66426848028882
2.216,-20.168712936174916
2.22,-21.920132427518986
2.224,-21.453714157015842
2.228,-21.76776429728191
2.232,-22.584323173184266
2.236,-23.447936368570865
2.24,-24.308903921039573
2.244,-24.476085579679282
2.248,-25.70591765558292
2.2520000000000002,-25.047603379799412
2.2560000000000002,-25.795616993951942
2.2600000000000002,-25.453587681144118
2.2640000000000002,-25.886760845003074
2.2680000000000002,-26.611719027009336
2.2720000000000002,-26.787727294586844
2.2760000000000002,-26.77968986308562
2.2800000000000002,-26.318905959074037
2.2840000000000003,-26.98597099440371
2.2880000000000003,-26.84175743799794
2.2920000000000003,-27.184702108742464
2.2960000000000003,-27.809203785670185
2.3000000000000003,-27.901935013349803
2.3040000000000003,-28.259615221787588
2.3080000000000003,-28.55470500775779
2.3120000000000003,-28.161850022886714
2.3160000000000003,-28.951367804473787
2.3200000000000003,-28.63705097971726
2.3240000000000003,-28.302831916557675
2.3280000000000003,-28.52392528426688
2.3320000000000003,-27.674274595325212
2.3360000000000003,-28.58988258667591
2.3400000000000003,-29.235950130804607
2.3440000000000003,-29.804895517062583
2.3480000000000003,-29.8039380525875
2.3520000000000003,-29.264922030907094
2.3560000000000003,-29.418351365115836
2.3600000000000003,-29.413305432477976
2.3640000000000003,-29.519853646443245
2.3680000000000003,-29.446923563531648
2.3720000000000003,-29.81402869617884
2.3760000000000003,-29.75232521625025
2.3800000000000003,-30.075994175770493
2.3840000000000003,-30.247025531711902
2.3880000000000003,-30.018205586998693
2.3920000000000003,-30.828410465270018
2.396,-31.49003649428141
2.4000000000000004,-31.088629633280522
2.404,-31.295041660423678
2.4080000000000004,-30.70116480179636
2.412,-29.65147752143719
2.4160000000000004,-29.574036784869694
2.42,-28.215537848201606
2.424,-28.29469523353517
2.428,-27.14302431185988
2.432,-26.344616133999644
2.436,-27.440674526157405
2.44,-25.900334045034064
2.444,-24.800864350822188
2.448,-24.36831879104649
2.452,-24.608005096345572
2.456,-24.040591135550898
2.46,-24.3075237077771
2.464,-23.32752109460964
2.468,-23.21141768592258
2.472,-23.941481295050462
2.476,-22.2475697011181
2.48,-21.82912264157946
2.484,-21.721423019411564
2.488,-21.706851439983286
2.492,-21.19259487572014
2.496,-21.400413385722448
2.5,-20.15692006143948
2.504,-20.218860433466315
2.508,-19.62785612627631
2.512,-19.113736597637846
2.516,-18.743191915135732
2.52,-18.49110637342187
2.524,-17.62680284699542
2.528,-16.794417754443433
2.532,-16.683749553278936
2.536,-16.211486523005906
2.54,-15.186655419101168
2.544,-14.979003861180878
2.548,-14.88363198928079
2.552,-15.279068105669738
2.556,-15.226865417253114
2.56,-14.928995652594542
2.564,-13.834306175823249
2.568,-14.061725775932867
2.572,-13.246447694550556
2.576,-13.091285626225352
2.58,-12.210877282381354
2.584,-11.926359419813492
2.588,-12.11624077657875
2.592,-11.243021985435584
2.596,-11.768651648988165
2.6,-11.0875118399519
