frequency,s11
2.2,-9.798266047198258
2.204,-9.443241302312352
2.208,-10.693911058782088
2.212,-10.41561805395417
2.216,-10.964284717862485
2.22,-11.009885125790193
2.224,-11.378234689961017
2.228,-11.867227787076105
2.232,-12.408604585951647
2.236,-12.213970712548715
2.24,-13.115634518161562
2.244,-13.532432091004727
2.248,-14.317405949711524
2.2520000000000002,-14.438299016909134
2.2560000000000002,-15.132604397352713
2.2600000000000002,-14.431693171418198
2.2640000000000002,-14.908543253899989
2.2680000000000002,-15.805455797613908
2.2720000000000002,-14.986060658522677
2.2760000000000002,-15.876694096274832
2.2800000000000002,-15.263820792884738
2.2840000000000003,-16.08725516199043
2.2880000000000003,-14.58632148876522
2.2920000000000003,-14.875684765045795
2.2960000000000003,-15.598936661433218
2.3000000000000003,-15.749941547100097
2.3040000000000003,-15.404603047853985
2.3080000000000003,-15.060985685415657
2.3120000000000003,-15.504028786182724
2.3160000000000003,-15.593707267368208
2.3200000000000003,-16.14347935511862
2.3240000000000003,-16.398795702922076
2.3280000000000003,-14.958567516861276
2.3320000000000003,-15.58347301432629
2.3360000000000003,-16.420547826973376
2.3400000000000003,-16.86501916959126
2.3440000000000003,-16.659125675959068
2.3480000000000003,-17.171614782452906
2.3520000000000003,-16.957040077543176
2.3560000000000003,-18.003784243808415
2.3600000000000003,-17.949377295060494
2.3640000000000003,-18.46971458531038
2.3680000000000003,-19.39716386162755
2.3720000000000003,-19.3699131502408
2.3760000000000003,-20.03916799968593
2.3800000000000003,-20.667826495345185
2.3840000000000003,-21.544504666686453
2.3880000000000003,-22.52795717452048
2.3920000000000003,-23.45206543996167
2.396,-24.609867567330387
2.4000000000000004,-25.311791966942874
2.404,-25.061894430134497
2.4080000000000004,-24.849260653239384
2.412,-25.61598641063212
2.4160000000000004,-25.441448272082102
2.42,-25.34374544968201
2.424,-25.029167962273622
2.428,-24.608490104333942
2.432,-23.880694020579792
2.436,-24.569547500060203
2.44,-25.080027303143577
2.444,-24.171350341065434
2.448,-24.043849347051644
2.452,-23.704446096788836
2.456,-24.66291700383251
2.46,-25.825172805795205
2.464,-25.119390892123988
2.468,-25.108247079346793
2.472,-24.55295920036681
2.476,-26.13175881150461
2.48,-24.921107594267422
2.484,-25.888425758925433
2.488,-25.82269778074947
2.492,-24.833208426075583
2.496,-25.421792557432365
2.5,-25.653080884949023
2.504,-25.219967958379584
2.508,-25.06146605768918
2.512,-25.548153319600136
2.516,-25.64665236142619
2.52,-25.052419592982396
2.524,-24.304108897285182
2.528,-24.98925964302369
2.532,-24.840060264112882
2.536,-25.401407572067047
2.54,-25.189392538942986
2.544,-25.434450823504335
2.548,-24.90471206552733
2.552,-25.556211583660755
2.556,-25.341863991226475
2.56,-24.80924527802347
2.564,-25.289262677942595
2.568,-24.930827578989437
2.572,-23.98449722729356
2.576,-24.678078599086565
2.58,-23.53859243949698
2.584,-23.366412208528363
2.588,-23.85389259494294
2.592,-23.383902719715802
2.596,-22.13789744893277
2.6,-20.689446249921495
